voc_id,voc_text,order_amount,create_time
N000,优惠券用不了显示不符合条件可是明明是符合条件的,299,2026-04-29
N001,客服态度还行帮我解决了问题,459,2026-04-21
N002,优惠券用不了显示不符合条件可是明明是符合条件的,99,2026-04-19
N003,优惠券用不了显示不符合条件可是明明是符合条件的,188,2026-04-11
N004,客服态度还行帮我解决了问题,459,2026-04-04
N005,客服态度还行帮我解决了问题,188,2026-04-22
N006,怎么退货啊找不到退货入口,99,2026-04-24
N007,物流显示签收了我没收到货快递员电话打不通,99,2026-04-28
N008,怎么退货啊找不到退货入口,39,2026-04-12
N009,买了三件只发了两件少发了一件,459,2026-04-12
N010,收到的包装破了不过东西没坏,39,2026-04-27
N011,买了三件只发了两件少发了一件,299,2026-04-28
N012,收到的商品和图片颜色不太一样有点失望,299,2026-04-23
N013,衣服质量还行就是码数偏小,39,2026-04-03
N014,怎么退货啊找不到退货入口,188,2026-04-07
N015,怎么退货啊找不到退货入口,39,2026-04-07
N016,客服回复太慢了等了好久才回我一句,299,2026-04-25
N017,客服回复太慢了等了好久才回我一句,99,2026-04-09
N018,买了三件只发了两件少发了一件,459,2026-04-02
N019,衣服质量还行就是码数偏小,299,2026-04-15
N020,优惠券用不了显示不符合条件可是明明是符合条件的,299,2026-04-29
N021,客服态度还行帮我解决了问题,188,2026-04-14
N022,买的东西物流好慢啊等了快一周了还没收到,299,2026-04-18
N023,客服态度还行帮我解决了问题,299,2026-04-02
N024,物流显示签收了我没收到货快递员电话打不通,99,2026-04-04
N025,物流显示签收了我没收到货快递员电话打不通,459,2026-04-18
N026,买了三件只发了两件少发了一件,299,2026-04-02
N027,买了三件只发了两件少发了一件,299,2026-04-14
N028,客服态度还行帮我解决了问题,299,2026-04-25
N029,客服态度还行帮我解决了问题,459,2026-04-16
N030,客服回复太慢了等了好久才回我一句,459,2026-04-24
N031,买了三件只发了两件少发了一件,39,2026-04-28
N032,收到的包装破了不过东西没坏,459,2026-04-15
N033,买的东西物流好慢啊等了快一周了还没收到,39,2026-04-07
N034,收到的包装破了不过东西没坏,39,2026-04-12
N035,客服态度还行帮我解决了问题,188,2026-04-19
N036,买的东西物流好慢啊等了快一周了还没收到,188,2026-04-03
N037,买的东西物流好慢啊等了快一周了还没收到,188,2026-04-05
N038,买了三件只发了两件少发了一件,99,2026-04-09
N039,优惠券用不了显示不符合条件可是明明是符合条件的,39,2026-04-08
N040,客服回复太慢了等了好久才回我一句,39,2026-04-16
N041,优惠券用不了显示不符合条件可是明明是符合条件的,459,2026-04-03
N042,客服态度还行帮我解决了问题,188,2026-04-03
N043,买的东西物流好慢啊等了快一周了还没收到,188,2026-04-05
N044,收到的商品和图片颜色不太一样有点失望,39,2026-04-05
N045,买了三件只发了两件少发了一件,188,2026-04-09
N046,买了三件只发了两件少发了一件,99,2026-04-28
N047,收到的商品和图片颜色不太一样有点失望,39,2026-04-20
N048,衣服质量还行就是码数偏小,459,2026-04-23
N049,优惠券用不了显示不符合条件可是明明是符合条件的,459,2026-04-15
N050,衣服质量还行就是码数偏小,459,2026-04-07
N051,收到的商品和图片颜色不太一样有点失望,299,2026-04-02
N052,买了三件只发了两件少发了一件,459,2026-04-30
N053,收到的包装破了不过东西没坏,459,2026-04-06
N054,衣服质量还行就是码数偏小,188,2026-04-26
N055,优惠券用不了显示不符合条件可是明明是符合条件的,299,2026-04-25
N056,优惠券用不了显示不符合条件可是明明是符合条件的,39,2026-04-01
N057,收到的包装破了不过东西没坏,188,2026-04-30
N058,收到的包装破了不过东西没坏,299,2026-04-13
N059,收到的包装破了不过东西没坏,188,2026-04-07
N060,物流显示签收了我没收到货快递员电话打不通,188,2026-04-09
N061,怎么退货啊找不到退货入口,39,2026-04-19
N062,买了三件只发了两件少发了一件,299,2026-04-24
N063,物流显示签收了我没收到货快递员电话打不通,39,2026-04-20
N064,买的东西物流好慢啊等了快一周了还没收到,39,2026-04-26
N065,衣服质量还行就是码数偏小,299,2026-04-30
N066,优惠券用不了显示不符合条件可是明明是符合条件的,99,2026-04-03
N067,买的东西物流好慢啊等了快一周了还没收到,459,2026-04-17
N068,客服态度还行帮我解决了问题,39,2026-04-27
N069,买的东西物流好慢啊等了快一周了还没收到,99,2026-04-02
N070,物流显示签收了我没收到货快递员电话打不通,459,2026-04-01
N071,买的东西物流好慢啊等了快一周了还没收到,188,2026-04-30
N072,客服回复太慢了等了好久才回我一句,459,2026-04-12
N073,买了三件只发了两件少发了一件,299,2026-04-23
N074,客服态度还行帮我解决了问题,188,2026-04-17
N075,物流显示签收了我没收到货快递员电话打不通,459,2026-04-20
N076,客服回复太慢了等了好久才回我一句,188,2026-04-16
N077,买的东西物流好慢啊等了快一周了还没收到,39,2026-04-28
N078,物流显示签收了我没收到货快递员电话打不通,459,2026-04-03
N079,衣服质量还行就是码数偏小,299,2026-04-27
N080,衣服质量还行就是码数偏小,188,2026-04-26
N081,收到的商品和图片颜色不太一样有点失望,188,2026-04-20
N082,优惠券用不了显示不符合条件可是明明是符合条件的,299,2026-04-09
N083,买的东西物流好慢啊等了快一周了还没收到,99,2026-04-08
N084,买的东西物流好慢啊等了快一周了还没收到,188,2026-04-28
N085,收到的包装破了不过东西没坏,39,2026-04-18
N086,优惠券用不了显示不符合条件可是明明是符合条件的,99,2026-04-03
N087,优惠券用不了显示不符合条件可是明明是符合条件的,299,2026-04-16
N088,买了三件只发了两件少发了一件,39,2026-04-20
N089,买的东西物流好慢啊等了快一周了还没收到,99,2026-04-01
N090,怎么退货啊找不到退货入口,459,2026-04-27
N091,优惠券用不了显示不符合条件可是明明是符合条件的,39,2026-04-09
N092,收到的商品和图片颜色不太一样有点失望,188,2026-04-16
N093,收到的商品和图片颜色不太一样有点失望,299,2026-04-24
N094,物流显示签收了我没收到货快递员电话打不通,39,2026-04-24
N095,衣服质量还行就是码数偏小,188,2026-04-17
N096,客服态度还行帮我解决了问题,299,2026-04-06
N097,客服态度还行帮我解决了问题,299,2026-04-30
N098,收到的商品和图片颜色不太一样有点失望,39,2026-04-03
N099,收到的包装破了不过东西没坏,459,2026-04-18
N100,客服回复太慢了等了好久才回我一句,99,2026-04-22
N101,收到的商品和图片颜色不太一样有点失望,459,2026-04-09
N102,衣服质量还行就是码数偏小,39,2026-04-04
N103,买的东西物流好慢啊等了快一周了还没收到,459,2026-04-16
N104,衣服质量还行就是码数偏小,188,2026-04-17
N105,买的东西物流好慢啊等了快一周了还没收到,299,2026-04-27
N106,收到的商品和图片颜色不太一样有点失望,459,2026-04-19
N107,物流显示签收了我没收到货快递员电话打不通,188,2026-04-27
N108,客服回复太慢了等了好久才回我一句,459,2026-04-30
N109,买的东西物流好慢啊等了快一周了还没收到,299,2026-04-15
N110,买的东西物流好慢啊等了快一周了还没收到,459,2026-04-28
N111,收到的商品和图片颜色不太一样有点失望,299,2026-04-03
N112,买的东西物流好慢啊等了快一周了还没收到,39,2026-04-12
N113,怎么退货啊找不到退货入口,188,2026-04-28
N114,收到的包装破了不过东西没坏,459,2026-04-24
N115,买的东西物流好慢啊等了快一周了还没收到,459,2026-04-03
N116,买的东西物流好慢啊等了快一周了还没收到,299,2026-04-29
N117,怎么退货啊找不到退货入口,39,2026-04-03
N118,客服回复太慢了等了好久才回我一句,39,2026-04-10
N119,物流显示签收了我没收到货快递员电话打不通,99,2026-04-03
N120,客服态度还行帮我解决了问题,99,2026-04-15
N121,物流显示签收了我没收到货快递员电话打不通,99,2026-04-27
N122,买了三件只发了两件少发了一件,99,2026-04-26
N123,买的东西物流好慢啊等了快一周了还没收到,39,2026-04-09
N124,物流显示签收了我没收到货快递员电话打不通,459,2026-04-10
N125,优惠券用不了显示不符合条件可是明明是符合条件的,99,2026-04-03
N126,客服回复太慢了等了好久才回我一句,39,2026-04-24
N127,买了三件只发了两件少发了一件,39,2026-04-04
N128,衣服质量还行就是码数偏小,39,2026-04-08
N129,收到的商品和图片颜色不太一样有点失望,299,2026-04-02
